cage_number,treatment,species,value,trophic_level,metric,interaction_evenness
19,Dpo_Epl,Lupinus_hartwegii,0.549896023,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Fagopyrum_esculentum,0.338944445,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Coriandrum_sativum,0.306208521,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Brassica_rapa,0.265704243,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Centaurea_cyanus,0.349040788,plant,visitation_evenness,0.548131823
19,Dpo_Epl,Cucurbita_pepo,0.649264837,plant,visitation_evenness,0.548131823
2,Epo_Epl,Brassica_rapa,0.236607547,plant,visitation_evenness,0.686697732
2,Epo_Epl,Centaurea_cyanus,0.379281308,plant,visitation_evenness,0.686697732
2,Epo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.686697732
2,Epo_Epl,Coriandrum_sativum,0.190054723,plant,visitation_evenness,0.686697732
2,Epo_Epl,Lupinus_hartwegii,0.359329818,plant,visitation_evenness,0.686697732
2,Epo_Epl,Fagopyrum_esculentum,0.223072689,plant,visitation_evenness,0.686697732
2,Epo_Epl,Salvia_farinacea,0.517748006,plant,visitation_evenness,0.686697732
20,Dpo_Epl,Fagopyrum_esculentum,0.25485506,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Lupinus_hartwegii,0.213064214,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Salvia_farinacea,0.360623568,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Brassica_rapa,0.225943484,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Centaurea_cyanus,0.419754217,plant,visitation_evenness,0.573247907
20,Dpo_Epl,Coriandrum_sativum,0.248818705,plant,visitation_evenness,0.573247907
3,Epo_Epl,Centaurea_cyanus,0.300889021,plant,visitation_evenness,0.601050892
3,Epo_Epl,Brassica_rapa,0.223428106,plant,visitation_evenness,0.601050892
3,Epo_Epl,Coriandrum_sativum,0.21025464,plant,visitation_evenness,0.601050892
3,Epo_Epl,Cucurbita_pepo,1,plant,visitation_evenness,0.601050892
3,Epo_Epl,Fagopyrum_esculentum,0.176633457,plant,visitation_evenness,0.601050892
3,Epo_Epl,Lupinus_hartwegii,0.214011558,plant,visitation_evenness,0.601050892
3,Epo_Epl,Salvia_farinacea,0.258162026,plant,visitation_evenness,0.601050892
4,Epo_Epl,Coriandrum_sativum,0.223985199,plant,visitation_evenness,0.548366513
4,Epo_Epl,Centaurea_cyanus,0.537907177,plant,visitation_evenness,0.548366513
4,Epo_Epl,Brassica_rapa,0.262022703,plant,visitation_evenness,0.548366513
4,Epo_Epl,Fagopyrum_esculentum,0.20796848,plant,visitation_evenness,0.548366513
4,Epo_Epl,Cucurbita_pepo,0.591435271,plant,visitation_evenness,0.548366513
4,Epo_Epl,Lupinus_hartwegii,0.262139131,plant,visitation_evenness,0.548366513
4,Epo_Epl,Salvia_farinacea,0.342262019,plant,visitation_evenness,0.548366513
5,Epo_Epl,Centaurea_cyanus,0.304758386,plant,visitation_evenness,0.656495229
5,Epo_Epl,Cucurbita_pepo,0.534392032,plant,visitation_evenness,0.656495229
5,Epo_Epl,Brassica_rapa,0.248629525,plant,visitation_evenness,0.656495229
5,Epo_Epl,Coriandrum_sativum,0.220282743,plant,visitation_evenness,0.656495229
5,Epo_Epl,Lupinus_hartwegii,0.343745374,plant,visitation_evenness,0.656495229
5,Epo_Epl,Fagopyrum_esculentum,0.183739382,plant,visitation_evenness,0.656495229
5,Epo_Epl,Salvia_farinacea,0.347066541,plant,visitation_evenness,0.656495229
6,Epo_Dpl,Brassica_rapa,0.191322639,plant,visitation_evenness,0.543970875
6,Epo_Dpl,Centaurea_cyanus,0.277468799,plant,visitation_evenness,0.543970875
6,Epo_Dpl,Coriandrum_sativum,0.219756655,plant,visitation_evenness,0.543970875
6,Epo_Dpl,Cucurbita_pepo,0.625359181,plant,visitation_evenness,0.543970875
6,Epo_Dpl,Fagopyrum_esculentum,0.174084126,plant,visitation_evenness,0.543970875
6,Epo_Dpl,Lupinus_hartwegii,0.510378421,plant,visitation_evenness,0.543970875
6,Epo_Dpl,Salvia_farinacea,0.34143004,plant,visitation_evenness,0.543970875
7,Epo_Dpl,Brassica_rapa,0.212372024,plant,visitation_evenness,0.52759868
7,Epo_Dpl,Centaurea_cyanus,0.317414159,plant,visitation_evenness,0.52759868
7,Epo_Dpl,Fagopyrum_esculentum,0.181265452,plant,visitation_evenness,0.52759868
7,Epo_Dpl,Cucurbita_pepo,0.519869117,plant,visitation_evenness,0.52759868
7,Epo_Dpl,Coriandrum_sativum,0.242973331,plant,visitation_evenness,0.52759868
7,Epo_Dpl,Lupinus_hartwegii,0.507514143,plant,visitation_evenness,0.52759868
7,Epo_Dpl,Salvia_farinacea,1,plant,visitation_evenness,0.52759868
8,Epo_Dpl,Cucurbita_pepo,1,plant,visitation_evenness,0.634345977
8,Epo_Dpl,Coriandrum_sativum,0.196440431,plant,visitation_evenness,0.634345977
8,Epo_Dpl,Centaurea_cyanus,0.315887828,plant,visitation_evenness,0.634345977
8,Epo_Dpl,Lupinus_hartwegii,0.507816434,plant,visitation_evenness,0.634345977
8,Epo_Dpl,Fagopyrum_esculentum,0.206159937,plant,visitation_evenness,0.634345977
8,Epo_Dpl,Brassica_rapa,0.181476002,plant,visitation_evenness,0.634345977
8,Epo_Dpl,Salvia_farinacea,0.529044883,plant,visitation_evenness,0.634345977
9,Epo_Dpl,Centaurea_cyanus,0.466398939,plant,visitation_evenness,0.530888629
9,Epo_Dpl,Cucurbita_pepo,1,plant,visitation_evenness,0.530888629
9,Epo_Dpl,Coriandrum_sativum,0.276256794,plant,visitation_evenness,0.530888629
9,Epo_Dpl,Lupinus_hartwegii,0.530101054,plant,visitation_evenness,0.530888629
9,Epo_Dpl,Salvia_farinacea,0.526894875,plant,visitation_evenness,0.530888629
9,Epo_Dpl,Brassica_rapa,0.188828621,plant,visitation_evenness,0.530888629
9,Epo_Dpl,Fagopyrum_esculentum,0.205189001,plant,visitation_evenness,0.530888629
1,Epo_Epl,Coriandrum_sativum,0.725623583,plant,pollinator_sharing,0.640372564
1,Epo_Epl,Centaurea_cyanus,0.666326531,plant,pollinator_sharing,0.640372564
1,Epo_Epl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.640372564
1,Epo_Epl,Brassica_rapa,0.66723356,plant,pollinator_sharing,0.640372564
1,Epo_Epl,Lupinus_hartwegii,0.600680272,plant,pollinator_sharing,0.640372564
1,Epo_Epl,Salvia_farinacea,0.543537415,plant,pollinator_sharing,0.640372564
1,Epo_Epl,Fagopyrum_esculentum,0.725623583,plant,pollinator_sharing,0.640372564
10,Epo_Dpl,Lupinus_hartwegii,0.366666667,plant,pollinator_sharing,0.564982988
10,Epo_Dpl,Fagopyrum_esculentum,0.615079365,plant,pollinator_sharing,0.564982988
10,Epo_Dpl,Brassica_rapa,0.615079365,plant,pollinator_sharing,0.564982988
10,Epo_Dpl,Salvia_farinacea,0.366666667,plant,pollinator_sharing,0.564982988
10,Epo_Dpl,Coriandrum_sativum,0.633560091,plant,pollinator_sharing,0.564982988
10,Epo_Dpl,Centaurea_cyanus,0.62244898,plant,pollinator_sharing,0.564982988
10,Epo_Dpl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.564982988
11,Dpo_Dpl,Lupinus_hartwegii,0.619047619,plant,pollinator_sharing,0.419613917
11,Dpo_Dpl,Salvia_farinacea,0.619047619,plant,pollinator_sharing,0.419613917
11,Dpo_Dpl,Brassica_rapa,0.530612245,plant,pollinator_sharing,0.419613917
11,Dpo_Dpl,Fagopyrum_esculentum,0.724489796,plant,pollinator_sharing,0.419613917
11,Dpo_Dpl,Centaurea_cyanus,0.724489796,plant,pollinator_sharing,0.419613917
11,Dpo_Dpl,Coriandrum_sativum,0.380952381,plant,pollinator_sharing,0.419613917
11,Dpo_Dpl,Cucurbita_pepo,0.557823129,plant,pollinator_sharing,0.419613917
12,Dpo_Dpl,Lupinus_hartwegii,0.523809524,plant,pollinator_sharing,0.435385096
12,Dpo_Dpl,Salvia_farinacea,0.142857143,plant,pollinator_sharing,0.435385096
