cage_number,treatment,plant_species,visitation_evenness,pollinator_sharing,no_links,selectivity,visitation_rate,scaled_seed_production
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,1.134355622
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.063967912
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.834774739
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.235612971
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.163828207
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.135752677
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-1.062570857
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-1.262291446
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.535193855
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.762989974
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.734914444
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.46340909
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.435333561
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.535193855
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.435333561
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.263688501
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-1.56187233
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.163828207
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.63505415
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.535193855
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.563269385
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.46340909
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.163828207
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.934635033
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.163828207
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.535193855
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.063967912
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.63505415
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,-0.063967912
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.235612971
1,Epo_Epl,Brassica_rapa,0.222049841,0.66723356,5,0.287039621,0.013198792,0.235612971
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
